datetime open high low close turnover/amount(index)
1998-06-24 1399.71 1402.14 1390.86 1401.74 6638772500
1998-06-25 1402.95 1404.05 1377.18 1382.04 5084424500
1998-06-26 1383.29 1388.55 1376.41 1385.62 5311187200
1998-06-29 1387.02 1387.19 1356.22 1361.43 4858413600
1998-06-30 1360.62 1363.59 1335.21 1339.20 3707584200
1998-07-01 1363.27 1367.15 1315.18 1316.44 4673538400
1998-07-02 1314.10 1331.65 1297.00 1331.65 4305714600
1998-07-03 1335.84 1341.73 1327.80 1335.13 4619806700
1998-07-06 1339.26 1339.68 1313.28 1315.28 4031200700
1998-07-07 1313.65 1324.41 1307.91 1324.40 3019955100
1998-07-08 1326.82 1339.16 1326.63 1338.98 3153977200
1998-07-09 1341.35 1344.43 1336.66 1343.23 3240223700
1998-07-10 1344.75 1360.64 1344.63 1360.62 4068972200
1998-07-13 1362.69 1363.00 1352.16 1358.81 4402662900
1998-07-14 1360.61 1361.19 1334.71 1336.56 4973576300
1998-07-15 1332.41 1341.64 1326.32 1335.47 4293266300
1998-07-16 1335.30 1337.64 1317.89 1325.63 4265023400
1998-07-17 1325.88 1330.82 1311.75 1314.71 4607755000
1998-07-20 1311.06 1311.15 1278.30 1287.07 4140592500
1998-07-21 1285.79 1318.93 1284.80 1313.01 3651871900
1998-07-22 1312.23 1312.37 1295.60 1299.15 3328691600
1998-07-23 1299.22 1316.29 1299.15 1316.27 3245838400
1998-07-24 1317.85 1330.49 1317.85 1326.82 3877897900
1998-07-27 1328.34 1328.73 1314.73 1321.90 3427756700
1998-07-28 1321.63 1324.27 1313.20 1317.95 2866543500
1998-07-29 1317.93 1321.26 1308.26 1311.94 3146728400
1998-07-30 1312.86 1318.02 1309.77 1315.30 3247826700
1998-07-31 1316.31 1319.36 1312.38 1316.92 3482685400
1998-08-03 1315.14 1315.47 1299.93 1302.09 3181406200
1998-08-04 1299.73 1299.73 1283.20 1293.46 2839310700
1998-08-05 1293.70 1307.48 1293.11 1307.44 2745258900
1998-08-06 1310.30 1312.60 1292.39 1294.16 2897823900
1998-08-07 1292.08 1292.31 1267.92 1271.07 4386632300
1998-08-10 1262.01 1262.03 1227.47 1234.58 3336072600
1998-08-11 1230.38 1241.78 1206.64 1207.67 2745318500
1998-08-12 1204.35 1207.72 1158.79 1190.55 3868193900
1998-08-13 1193.36 1205.85 1185.57 1204.18 3379172700
1998-08-14 1202.38 1202.38 1165.86 1168.03 3431901300
1998-08-17 1152.67 1152.67 1068.66 1070.41 3434631900
1998-08-18 1054.18 1094.38 1043.02 1071.30 3249983800
1998-08-19 1072.74 1126.08 1072.72 1126.08 3641886800
1998-08-20 1128.75 1149.96 1113.85 1149.91 4123444000
1998-08-21 1149.61 1178.74 1141.51 1177.61 4740487900
1998-08-24 1178.55 1190.88 1166.14 1178.55 5146376000
1998-08-25 1174.41 1179.10 1159.39 1179.07 4612296100
1998-08-26 1174.84 1182.33 1159.52 1160.29 3731662700
1998-08-27 1152.35 1154.69 1142.17 1145.22 3099138000
1998-08-28 1139.82 1146.51 1125.20 1129.72 2848366800
1998-08-31 1117.97 1150.23 1072.42 1150.22 3291809700
1998-09-01 1142.50 1163.17 1123.64 1143.13 3658948700
1998-09-02 1137.31 1149.27 1129.81 1136.89 2396550600
1998-09-03 1136.44 1151.01 1136.14 1147.20 2385250900
1998-09-04 1148.95 1169.47 1148.94 1163.53 3298078100
1998-09-07 1168.36 1178.38 1163.20 1178.38 3256125100
1998-09-08 1181.07 1185.09 1166.66 1167.59 3517638100
1998-09-09 1165.66 1190.74 1162.47 1190.68 5158327700
1998-09-10 1194.88 1219.80 1194.11 1213.67 7536379600
1998-09-11 1214.83 1225.14 1206.60 1218.01 6578319000
1998-09-14 1219.32 1239.77 1214.44 1239.60 7443830900
1998-09-15 1240.94 1245.42 1228.88 1230.13 6893843600
